Timestamp(ms),Current(uA)
38341.81,369.150
38341.82,367.809
38341.83,366.914
38341.84,365.125
38341.85,366.467
38341.86,371.835
38341.87,368.703
38341.88,365.125
38341.89,365.125
38341.9,359.760
38341.91,354.397
38341.92,353.503
38341.93,355.737
38341.94,353.503
38341.95,352.610
38341.96,349.482
38341.97,349.482
38341.98,349.482
38341.99,349.482
38342,350.376
38342.01,352.163
38342.02,352.610
38342.03,353.056
38342.04,353.503
38342.05,354.397
38342.06,356.184
38342.07,361.101
38342.08,362.442
38342.09,365.125
38342.1,366.467
38342.11,366.467
38342.12,366.914
38342.13,370.045
38342.14,369.598
38342.15,372.730
38342.16,376.310
38342.17,380.786
38342.18,382.129
38342.19,385.712
38342.2,386.608
38342.21,387.056
38342.22,387.056
38342.23,390.191
38342.24,390.191
38342.25,394.224
38342.26,394.224
38342.27,396.465
38342.28,394.672
38342.29,395.569
38342.3,397.810
38342.31,403.639
38342.32,404.087
38342.33,401.845
38342.34,401.397
38342.35,403.639
38342.36,403.639
38342.37,406.779
38342.38,409.022
38342.39,404.984
38342.4,401.845
38342.41,400.948
38342.42,399.155
38342.43,400.052
38342.44,402.294
38342.45,405.433
38342.46,401.397
38342.47,401.397
38342.48,400.948
38342.49,399.603
38342.5,396.465
38342.51,393.328
38342.52,391.984
38342.53,390.191
38342.54,391.087
38342.55,393.328
38342.56,393.328
38342.57,390.191
38342.58,387.504
38342.59,385.264
38342.6,386.160
38342.61,388.399
38342.62,388.399
38342.63,385.264
38342.64,383.473
38342.65,379.443
38342.66,378.100
38342.67,374.072
38342.68,371.835
38342.69,370.940
38342.7,371.835
38342.71,372.730
38342.72,375.862
38342.73,375.862
38342.74,374.072
38342.75,370.493
38342.76,365.125
38342.77,366.020
38342.78,366.020
38342.79,369.598
38342.8,371.387
38342.81,370.493
38342.82,370.940
38342.83,369.598
38342.84,370.493
38342.85,370.493
38342.86,372.282
38342.87,373.625
38342.88,376.310
38342.89,378.548
38342.9,378.100
38342.91,379.443
38342.92,381.234
38342.93,380.786
38342.94,382.129
38342.95,376.310
38342.96,375.862
38342.97,376.757
38342.98,377.205
38342.99,380.786
38343,381.234
38343.01,380.786
38343.02,378.995
38343.03,379.891
38343.04,378.995
38343.05,378.100
38343.06,376.310
38343.07,375.862
38343.08,378.100
38343.09,374.967
38343.1,373.625
38343.11,371.387
38343.12,370.045
38343.13,370.940
38343.14,370.493
38343.15,367.809
38343.16,365.572
38343.17,369.150
38343.18,372.282
38343.19,372.730
38343.2,372.282
38343.21,373.177
38343.22,372.282
38343.23,374.967
38343.24,374.520
38343.25,372.282
38343.26,370.493
38343.27,372.730
38343.28,376.757
38343.29,381.234
38343.3,382.129
38343.31,382.577
38343.32,383.025
38343.33,383.473
38343.34,382.129
38343.35,380.786
38343.36,380.786
38343.37,379.891
38343.38,380.338
38343.39,379.443
38343.4,379.891
