Timestamp(ms),Current(uA)
42108.48,370.045
42108.49,370.493
42108.5,372.730
42108.51,375.415
42108.52,378.100
42108.53,378.995
42108.54,377.652
42108.55,376.310
42108.56,372.730
42108.57,372.282
42108.58,374.520
42108.59,374.072
42108.6,374.520
42108.61,373.625
42108.62,372.282
42108.63,374.072
42108.64,376.757
42108.65,375.862
42108.66,377.652
42108.67,377.652
42108.68,378.100
42108.69,379.891
42108.7,379.891
42108.71,376.757
42108.72,375.415
42108.73,372.282
42108.74,371.387
42108.75,371.835
42108.76,367.809
42108.77,369.150
42108.78,369.598
42108.79,370.940
42108.8,368.703
42108.81,371.387
42108.82,371.387
42108.83,368.703
42108.84,368.703
42108.85,369.598
42108.86,368.703
42108.87,367.809
42108.88,369.150
42108.89,366.914
42108.9,367.361
42108.91,368.703
42108.92,370.493
42108.93,373.625
42108.94,374.967
42108.95,375.862
42108.96,379.891
42108.97,377.205
42108.98,378.995
42108.99,380.786
42109,377.652
42109.01,379.891
42109.02,380.786
42109.03,380.786
42109.04,381.234
42109.05,381.682
42109.06,381.682
42109.07,384.816
42109.08,383.920
42109.09,382.577
42109.1,379.891
42109.11,382.129
42109.12,385.264
42109.13,387.504
42109.14,387.951
42109.15,386.160
42109.16,387.056
42109.17,383.920
42109.18,381.234
42109.19,382.129
42109.2,379.891
42109.21,377.652
42109.22,380.786
42109.23,379.443
42109.24,380.786
42109.25,383.473
42109.26,382.577
42109.27,385.264
42109.28,385.264
42109.29,383.473
42109.3,384.816
42109.31,383.025
42109.32,383.473
42109.33,383.025
42109.34,384.816
42109.35,388.847
42109.36,390.639
42109.37,390.639
42109.38,389.743
42109.39,388.399
42109.4,389.743
42109.41,390.191
42109.42,390.639
42109.43,388.399
42109.44,387.056
42109.45,384.368
42109.46,385.712
42109.47,383.920
42109.48,383.025
42109.49,384.368
42109.5,386.608
42109.51,387.056
42109.52,383.473
42109.53,383.025
42109.54,382.577
42109.55,379.443
42109.56,379.891
42109.57,378.548
42109.58,377.205
42109.59,374.967
42109.6,374.072
42109.61,370.493
42109.62,366.914
42109.63,366.914
42109.64,364.678
42109.65,364.678
42109.66,362.889
42109.67,361.101
42109.68,359.313
42109.69,357.972
42109.7,357.972
42109.71,361.548
42109.72,363.336
42109.73,363.784
42109.74,362.889
42109.75,361.995
42109.76,363.336
42109.77,364.231
42109.78,365.572
42109.79,365.572
42109.8,368.256
42109.81,372.730
42109.82,375.415
42109.83,377.652
42109.84,378.548
42109.85,380.786
42109.86,381.234
42109.87,381.682
42109.88,381.234
42109.89,382.577
42109.9,383.025
42109.91,383.920
42109.92,383.473
42109.93,381.234
42109.94,383.473
42109.95,388.399
42109.96,388.847
42109.97,386.608
42109.98,387.504
42109.99,386.608
42110,388.399
42110.01,391.984
42110.02,393.328
42110.03,394.672
42110.04,397.362
42110.05,395.569
42110.06,398.258
42110.07,398.707
42110.08,397.362
42110.09,397.362
42110.1,392.880
42110.11,392.432
42110.12,395.121
42110.13,392.880
42110.14,391.984
42110.15,389.295
42110.16,388.399
42110.17,383.920
42110.18,379.443
42110.19,378.548
42110.2,374.520
42110.21,370.940
42110.22,371.387
42110.23,373.625
42110.24,370.045
42110.25,368.256
42110.26,366.020
42110.27,370.493
42110.28,370.045
42110.29,369.598
42110.3,369.150
42110.31,369.150
42110.32,368.703
42110.33,367.809
42110.34,369.150
42110.35,368.703
42110.36,370.493
42110.37,370.940
42110.38,372.730
42110.39,371.387
42110.4,369.598
42110.41,372.282
42110.42,372.730
42110.43,374.520
42110.44,376.757
42110.45,379.891
42110.46,383.473
42110.47,385.712
42110.48,386.608
42110.49,389.743
42110.5,387.951
42110.51,386.608
42110.52,390.639
42110.53,393.328
42110.54,393.776
42110.55,395.569
42110.56,396.914
42110.57,396.914
42110.58,400.052
42110.59,396.914
42110.6,393.776
42110.61,396.465
42110.62,400.500
42110.63,400.052
42110.64,401.397
42110.65,400.500
42110.66,399.603
42110.67,395.569
42110.68,394.224
42110.69,393.328
42110.7,395.121
42110.71,394.224
42110.72,391.087
42110.73,387.056
42110.74,383.473
42110.75,381.234
42110.76,381.234
42110.77,379.443
42110.78,379.443
42110.79,378.548
42110.8,378.548
42110.81,379.891
42110.82,379.891
42110.83,376.757
42110.84,374.520
42110.85,372.730
42110.86,370.493
42110.87,370.493
42110.88,368.256
42110.89,368.703
42110.9,369.150
42110.91,369.150
42110.92,366.467
42110.93,363.336
42110.94,359.760
42110.95,355.737
42110.96,354.397
